ID,Date,Category,Description,Amount,Type
1,2026-01-01,Salary,Monthly Salary,75000.0,Income
2,2026-01-02,Entertainment,Streaming,4958.0,Expense
3,2026-01-16,Transport,Ride,2405.0,Expense
4,2026-01-17,Health,Medicine,4711.0,Expense
6,2026-01-23,Food,Coffee,1571.0,Expense
7,2026-01-26,Other,Miscellaneous,4850.0,Expense
8,2026-01-26,Food,Groceries,2436.0,Expense
9,2026-01-27,Transport,Car Maintenance,2766.0,Expense
10,2026-01-30,Food,Coffee,968.0,Expense
11,2026-02-01,Salary,Monthly Salary,75000.0,Income
12,2026-02-02,Education,Books,8668.0,Expense
13,2026-02-05,Food,Restaurant,2870.0,Expense
14,2026-02-05,Shopping,Shoes,11809.0,Expense
15,2026-02-05,Bills,Mobile Bill,6169.0,Expense
16,2026-02-05,Transport,Ride,3807.0,Expense
17,2026-02-06,Food,Restaurant,1052.0,Expense
18,2026-02-07,Food,Fast Food,5588.0,Expense
19,2026-02-08,Other,Miscellaneous,1302.0,Expense
20,2026-02-10,Bills,Electricity,7727.0,Expense
21,2026-02-11,Education,Stationery,9565.0,Expense
22,2026-02-19,Education,Books,7939.0,Expense
23,2026-02-23,Shopping,Electronics,2891.0,Expense
24,2026-02-24,Shopping,Electronics,5616.0,Expense
25,2026-02-24,Entertainment,Streaming,2052.0,Expense
26,2026-02-27,Transport,Ride,4969.0,Expense
27,2026-03-01,Salary,Monthly Salary,75000.0,Income
28,2026-03-03,Bills,Electricity,11647.0,Expense
29,2026-03-20,Shopping,Household Items,10771.0,Expense
30,2026-03-21,Bills,Mobile Bill,5066.0,Expense
31,2026-03-22,Other,Miscellaneous,6263.0,Expense
32,2026-03-22,Food,Groceries,2022.0,Expense
33,2026-03-25,Health,Doctor Visit,2216.0,Expense
34,2026-03-27,Education,Books,8886.0,Expense
35,2026-04-01,Salary,Monthly Salary,75000.0,Income
36,2026-04-04,Entertainment,Events,2846.0,Expense
37,2026-04-08,Other,Gift,3956.0,Expense
38,2026-04-13,Entertainment,Events,3859.0,Expense
39,2026-04-19,Other,Personal,5766.0,Expense
40,2026-04-20,Education,Course Fee,3697.0,Expense
41,2026-04-20,Entertainment,Streaming,3659.0,Expense
42,2026-04-21,Health,Medicine,1259.0,Expense
43,2026-04-26,Transport,Bus,672.0,Expense
44,2026-04-28,Food,Coffee,3786.0,Expense
45,2026-05-01,Salary,Monthly Salary,75000.0,Income
46,2026-05-02,Entertainment,Events,2555.0,Expense
47,2026-05-03,Entertainment,Events,1872.0,Expense
48,2026-05-04,Transport,Fuel,4481.0,Expense
49,2026-05-06,Bills,Internet,3179.0,Expense
50,2026-05-06,Shopping,Household Items,7216.0,Expense
51,2026-05-07,Entertainment,Events,4071.0,Expense
52,2026-05-17,Transport,Ride,4875.0,Expense
53,2026-05-18,Transport,Ride,3077.0,Expense
54,2026-05-19,Bills,Mobile Bill,2416.0,Expense
55,2026-05-23,Other,Miscellaneous,3488.0,Expense
56,2026-05-31,Education,Course Fee,8433.0,Expense
57,2026-06-01,Salary,Monthly Salary,75000.0,Income
58,2026-06-04,Food,Coffee,5934.0,Expense
59,2026-06-11,Entertainment,Streaming,3373.0,Expense
60,2026-06-15,Other,Gift,1416.0,Expense
61,2026-06-23,Transport,Ride,2069.0,Expense
62,2026-07-01,Salary,Monthly Salary,75000.0,Income
63,2026-07-05,Entertainment,Streaming,1274.0,Expense
64,2026-07-05,Bills,Internet,9848.0,Expense
65,2026-07-11,Shopping,Clothes,10813.0,Expense
66,2026-07-14,Transport,Bus,3317.0,Expense
67,2026-07-14,Food,Fast Food,2672.0,Expense
68,2026-07-30,Other,Miscellaneous,943.0,Expense
69,2026-08-01,Salary,Monthly Salary,75000.0,Income
70,2026-08-05,Health,Doctor Visit,1773.0,Expense
71,2026-08-13,Other,Gift,2530.0,Expense
72,2026-08-21,Entertainment,Events,4786.0,Expense
73,2026-08-23,Shopping,Electronics,3287.0,Expense
74,2026-08-31,Education,Course Fee,2545.0,Expense
75,2026-09-01,Shopping,Electronics,9645.0,Expense
76,2026-09-01,Salary,Monthly Salary,75000.0,Income
77,2026-09-10,Transport,Fuel,1398.0,Expense
78,2026-09-16,Food,Restaurant,5823.0,Expense
79,2026-09-28,Entertainment,Movies,1738.0,Expense
80,2026-10-01,Salary,Monthly Salary,75000.0,Income
81,2026-10-02,Transport,Car Maintenance,1145.0,Expense
82,2026-10-02,Entertainment,Games,1713.0,Expense
83,2026-10-04,Shopping,Household Items,4981.0,Expense
84,2026-10-07,Education,Course Fee,8359.0,Expense
85,2026-10-07,Transport,Car Maintenance,760.0,Expense
86,2026-10-10,Entertainment,Games,2375.0,Expense
87,2026-10-10,Education,Stationery,1158.0,Expense
88,2026-10-16,Transport,Fuel,4904.0,Expense
89,2026-10-29,Entertainment,Movies,2107.0,Expense
90,2026-10-29,Bills,Internet,1617.0,Expense
91,2026-11-01,Salary,Monthly Salary,75000.0,Income
92,2026-11-06,Bills,Mobile Bill,4835.0,Expense
93,2026-11-06,Entertainment,Movies,4563.0,Expense
94,2026-11-07,Education,Course Fee,9835.0,Expense
95,2026-11-21,Entertainment,Events,2857.0,Expense
96,2026-11-23,Entertainment,Streaming,4419.0,Expense
97,2026-11-24,Transport,Fuel,2753.0,Expense
98,2026-11-27,Entertainment,Events,3390.0,Expense
99,2026-12-01,Transport,Fuel,3798.0,Expense
100,2026-12-01,Salary,Monthly Salary,75000.0,Income
